"PIDN","Ca","P","pH","SOC","Sand"
"09gt9UK5",0.0199027822745657,-0.0105774368282077,-0.0310567352073947,-0.684071579375432,0.636783011702533
"0BVvxJ6a",-0.0226617407252535,-0.0230555344749954,-0.0231092026243558,-0.537001624146463,-1.15294476972805
"0KbdgApg",-0.190171479846591,-0.0721622255461691,0.00816776269365914,-0.0455068627948608,-0.644257445476861
"0MnuuduB",0.122571401288812,0.0195206111007224,-0.0502267419962598,0.694747456861469,-0.8769033680267
"0PcIsF9z",0.186435395990983,0.0382428028661747,-0.0621512543132588,0.510462450706157,-0.594225783884175
"0ShTFLYJ",-0.241047605828318,-0.0870769296976278,0.0176672152997717,-0.628626793045665,-0.00420827755905906
"0XZh9jka",0.241775101197461,0.0544660375377772,-0.0724841343567196,1.35241490095876,-0.235765008091162
"0Y7Wegri",-0.256757840075135,-0.0916824984476058,0.0206005877368194,-0.600478753279669,0.0844186217211865
"0dTqplIM",0.140636676800338,0.0248165772237284,-0.0535998413670678,0.303477362496685,-0.768227161662356
"0lNiZicC",-0.0807787217165712,-0.0400929476218372,-0.0122577571598238,-0.315969634103761,-0.885385326671578
"0rGeJ0QN",-0.152419035660365,-0.0610948235935469,0.00111872844838713,0.00466112277490073,0.439762954636783
"0sXI9ytQ",-0.262241465187527,-0.093290062794353,0.0216244753827374,-0.800073275197133,1.60828916299341
"0ukt4aP6",0.075766961630135,0.00579955123199954,-0.0414875436450931,0.244551545395243,0.179739427607961
"1AGspb8f",0.0770467616361284,0.00617473385634642,-0.0417265044399186,0.304338109419363,-0.700182493700553
"1Csy0gvE",-0.171390248174464,-0.0666563716985239,0.00466098192544835,-0.741366105581481,0.940771979384739
"1Ic2hly1",-0.0780775310660852,-0.0393010740538074,-0.0127621161704446,0.0963531120402906,0.542575700257029
"1PPbaTwt",0.0262119877032425,-0.00872784764303098,-0.0322347729764943,-0.785891889322488,0.138555085763388
"1SO5VJNy",-0.142115897396038,-0.0580743841226013,-0.000805045654840582,-0.897741880400841,0.912148755562295
"1arHxK3Y",0.190372817845956,0.0393970865493999,-0.0628864390699564,0.7545624053981,-0.166767205584192
"1fCW4Bba",-0.281089672037722,-0.0988155508996604,0.0251437615750065,-0.674160260061565,1.01778625886152
"1qDZNvIm",-0.282983560377994,-0.0993707579588849,0.025497383282291,-1.38430082238614,1.63340535203776
"28LYJC2V",0.232758309901555,0.0518226999805467,-0.07080054347943,0.70195067274321,-0.230472637873163
"2CzACvQq",0.0365100457301062,-0.00570889748042639,-0.0341575985115267,-0.501232530718472,-0.100529891879656
"2FT3crfv",0.17584351373312,0.0351377160059872,-0.0601735667127086,0.151271324364922,-0.46388528705672
"2Fy2uHVg",-0.159764398916164,-0.0632481699368707,0.0024902348038082,-1.00585238215127,-0.00781549359865112
"2MkMEApm",-0.293659340494855,-0.102500440082996,0.0274907360641012,-1.08898360310386,1.38186005125942
"2NDGWEOe",0.0832378925525746,0.00798970864461763,-0.0428824956555262,0.0280919108617707,-0.50911584885169
"2NyyCiqn",-0.109386834362195,-0.0484796226724167,-0.00691612776129125,-0.881802975258783,0.960078861614619
"2QRzIb84",-0.0162967624986161,-0.0211895950908751,-0.0242976541394062,-0.595256626421592,0.426103084566346
"2QcbdrUZ",-0.448943587576767,-0.148023139775982,0.0564849905826215,-0.842419931368131,0.944181011864029
"2YgAimWK",-0.227748987793395,-0.0831783436754654,0.0151841333175681,-0.715052526505833,1.0928907064261
"2cx85d9H",-0.076872315356009,-0.0389477563550318,-0.0129871507873124,0.0108519020269438,-0.976866863165617
"2homMXMV",-0.0134545304431586,-0.0203563742152886,-0.0248283480195984,0.277813663959914,-0.142566831620469
"2ldLrUtq",0.106407999817571,0.0147821931026343,-0.0472087554010388,-0.656888094196995,-0.66290630214872
"2nsACW6G",0.11597876712463,0.0175879327326233,-0.0489957831804377,1.19659961974482,-1.52631617692289
"2yMbVnWc",0.0290819033803503,-0.00788651111361304,-0.0327706358676275,1.08538659212442,0.0305144843665942
"36r8sgGQ",-0.197234544624003,-0.0742328140496161,0.00948655904090901,-1.1701962793836,0.819722969444854
"3NXAXCl3",0.224794618763788,0.0494880863482892,-0.0693135846146748,0.726425442597918,-1.11511238162086
"3QG0z6fl",-0.0794096066461191,-0.0396915816406217,-0.0125133946218575,-0.789992322533213,0.115533564722239
"3WS8R9qm",0.364765385354566,0.0905215285231935,-0.095448547484055,1.72404842055976,-1.77584996427626
"3fRLm8f5",0.0773998198859609,0.00627823543479551,-0.0417924265211849,0.491299563931258,0.0185616847144408
"3mZhp1nQ",-0.30300842972896,-0.105241193183229,0.0292363727134325,-0.741853934354931,0.783002280296775
"3pikJXRL",0.162888514440376,0.0313398643023605,-0.0577546442924393,0.645353207462419,-0.814387574057417
"3pxOEGHL",-0.106750234215026,-0.0477066842774052,-0.00740842660787204,-1.29234588977906,0.913328515500662
"3ttdV3f5",-0.491841488768281,-0.160598969649895,0.0644947706397126,-0.99017536967616,0.390511401703705
"3v4X6Mfe",0.137215273850508,0.0238135682132157,-0.0529610062643321,-0.0981740697831262,-0.175087880797162
"3wORuPiv",0.199884097351643,0.0421853869003367,-0.0646623594480177,-0.168927243584312,-0.707283964932866
"43EfrxZj",0.130966930425021,0.0219818211642891,-0.0517943324838158,0.62972350002434,-0.314634102286709
"457Vwm21",-0.152816901825959,-0.0612114609364498,0.00119301694246372,0.0877778419884895,-0.447341859375624
"46KNnOdx",0.114519548178925,0.0171601521489521,-0.0487233217665783,-0.0872905390609099,0.000597225362305148
"47TwNsVC",0.308795278478245,0.0741134870444518,-0.0849979605462516,1.06945536325837,-1.89798644980146
"49856RpO",0.153553257881992,0.0286031663510213,-0.0560115904428965,-0.121273545263029,-0.49496051058485
